0 HC0_0 0 42
1 HC0_1 42 57
2 HC0_2 73 113
3 HC0_3 61 65
4 HC0_4 60 75
5 HC0_5 79 124
6 HC1_0 92 101
7 HC1_1 42 55
8 HC0_6 58 92
9 HC0_7 62 68
10 HC0_8 55 61
11 PE3_0 48 61
12 HC0_9 107 130
13 HC1_2 73 85
14 HC0_10 73 83
15 HC0_11 87 136
16 HC1_3 55 58
17 HC0_12 61 73
18 HC0_13 42 61
19 HC1_4 42 48
20 HC0_14 61 73
21 HC1_5 73 92
22 HC0_15 61 87
23 HC0_16 73 77
24 HC1_6 61 79
25 HC0_17 61 93
26 HC0_18 92 139
27 HC0_19 62 109
28 HC1_7 73 105
29 HC0_20 48 54
30 HC1_8 42 64
31 HC0_21 48 60
32 HC1_9 105 108
33 HC1_10 55 83
34 HC0_22 58 62
35 HC0_23 79 107
36 HC0_24 73 77
37 HC0_25 79 94
38 HC1_11 55 83
39 HC0_26 87 93
